,P1Rank,P2Rank,P1Pts,P2Pts,Surface,AP1Surface,AP1Rank,AP1OppRank,BP1Surface,BP1Rank,BP1OppRank,CP1Surface,CP1Rank,CP1OppRank,AP2Surface,AP2Rank,AP2OppRank,BP2Surface,BP2Rank,BP2OppRank,CP2Surface,CP2Rank,CP2OppRank,AP1Win,BP1Win,CP1Win,AP2Win,BP2Win,CP2Win
47067,34,65,1270,823,2,2,65,34,2,65,34,2,65,34,2,65,34,2,65,34,2,65,34,1,1,0,1,1,1
47096,62,34,864,1270,2,2,34,62,2,34,62,2,34,62,2,34,62,2,34,62,2,34,62,1,0,0,1,0,1
47125,34,126,1270,445,2,2,34,126,2,34,126,2,34,126,2,34,126,2,34,126,2,34,126,0,1,1,0,0,1
47154,5,28,4615,1385,2,2,5,28,2,5,28,2,5,28,2,5,28,2,5,28,2,5,28,1,1,0,1,1,0
47183,28,51,1385,986,2,2,28,51,2,28,51,2,28,51,2,28,51,2,28,51,2,28,51,1,0,1,1,0,1
47212,28,117,1385,480,2,2,28,117,2,28,117,2,28,117,2,28,117,2,28,117,2,28,117,0,1,1,0,1,0
47241,32,29,1305,1395,2,2,29,32,2,29,32,2,29,32,2,29,32,2,29,32,2,29,32,1,1,0,1,1,0
47270,32,16,1305,1950,2,2,32,16,2,32,16,2,32,16,2,32,16,2,32,16,2,32,16,1,0,1,1,0,0
47299,32,38,1305,1145,2,2,32,38,2,32,38,2,32,38,2,32,38,2,32,38,2,32,38,0,1,1,0,1,1
47328,26,39,1575,1110,2,2,39,26,2,39,26,2,39,26,2,39,26,2,39,26,2,39,26,1,1,0,1,1,0
47357,14,26,2190,1575,2,2,26,14,2,26,14,2,26,14,2,26,14,2,26,14,2,26,14,1,1,1,0,1,0
47386,46,26,1025,1575,2,2,26,46,2,26,46,2,26,46,2,26,46,2,26,46,2,26,46,0,0,1,0,1,0
47415,26,20,1530,1800,2,2,20,26,2,20,26,2,20,26,2,20,26,2,20,26,2,20,26,1,0,1,1,0,1
47444,63,26,892,1530,2,2,26,63,2,26,63,2,26,63,2,26,63,2,26,63,2,26,63,1,0,1,0,1,0
47473,47,25,1010,1588,3,3,47,25,3,47,25,3,47,25,3,47,25,3,47,25,3,47,25,1,0,1,1,0,1
47502,46,25,1025,1588,3,3,25,46,3,25,46,3,25,46,3,25,46,3,25,46,3,25,46,0,1,1,0,1,0
47531,26,67,1553,855,3,3,67,26,3,67,26,3,67,26,3,67,26,3,67,26,3,67,26,1,0,0,1,1,0
47560,26,54,1553,945,3,3,26,54,3,26,54,3,26,54,3,26,54,3,26,54,3,26,54,0,0,0,1,0,0
47589,23,46,1608,1050,3,3,46,23,3,46,23,3,46,23,3,46,23,3,46,23,3,46,23,0,0,1,0,0,0
47618,104,32,566,1290,2,2,32,104,2,32,104,2,32,104,2,32,104,2,32,104,2,32,104,1,0,1,1,0,1
47647,32,54,1290,930,2,2,32,54,2,32,54,2,32,54,2,32,54,2,32,54,2,32,54,0,1,1,0,0,0
47676,17,32,1940,1265,2,2,17,32,2,17,32,2,17,32,2,17,32,2,17,32,2,17,32,1,0,0,1,1,0
47705,84,32,681,1265,2,2,32,84,2,32,84,2,32,84,2,32,84,2,32,84,2,32,84,1,0,1,1,0,0
47734,150,32,389,1265,2,2,32,150,2,32,150,2,32,150,2,32,150,2,32,150,2,32,150,0,0,1,0,0,1
47763,21,31,1768,1345,2,2,21,31,2,21,31,2,21,31,2,21,31,2,21,31,2,21,31,0,1,0,0,1,1
47792,38,29,1208,1345,2,2,38,29,2,38,29,2,38,29,2,38,29,2,38,29,2,38,29,0,1,1,1,1,1
47821,39,166,1115,340,2,2,39,166,2,39,166,2,39,166,2,39,166,2,39,166,2,39,166,1,1,1,1,1,1
47850,107,39,493,1115,2,2,39,107,2,39,107,2,39,107,2,39,107,2,39,107,2,39,107,1,1,1,1,1,1
47879,25,39,1580,1115,2,2,39,25,2,39,25,2,39,25,2,39,25,2,39,25,2,39,25,1,0,1,1,1,0
47908,39,33,1115,1282,2,2,39,33,2,39,33,2,39,33,2,39,33,2,39,33,2,39,33,1,0,1,1,0,0
47937,91,39,645,1115,2,2,39,91,2,39,91,2,39,91,2,39,91,2,39,91,2,39,91,0,1,0,0,1,0
47966,40,24,1080,1575,2,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,2,24,40,1,0,0,1,0,1
47995,101,94,544,599,2,2,101,94,2,101,94,2,101,94,2,101,94,2,101,94,2,101,94,0,0,1,0,0,0
48024,102,45,556,1005,2,2,45,102,2,45,102,2,45,102,2,45,102,2,45,102,2,45,102,0,1,1,0,0,1
48053,123,161,466,349,1,1,161,123,1,161,123,1,161,123,1,161,123,1,161,123,1,161,123,1,1,1,1,1,1
48082,123,131,466,440,1,1,123,131,1,123,131,1,123,131,1,123,131,1,123,131,1,123,131,1,1,0,1,1,0
48111,123,43,466,1063,1,1,123,43,1,123,43,1,123,43,1,123,43,1,123,43,1,123,43,1,0,0,0,1,1
48140,123,133,466,435,1,1,123,133,1,123,133,1,123,133,1,123,133,1,123,133,1,123,133,0,0,0,0,0,1
48169,61,121,910,454,3,3,61,121,3,61,121,3,61,121,3,61,121,3,61,121,3,61,121,0,1,1,0,0,0
48198,125,69,454,833,3,3,69,125,3,69,125,3,69,125,3,69,125,3,69,125,3,69,125,0,0,0,0,0,0
48227,123,93,450,650,1,1,93,123,1,93,123,1,93,123,1,93,123,1,93,123,1,93,123,0,0,1,0,1,0
48256,72,124,744,450,1,1,72,124,1,72,124,1,72,124,1,72,124,1,72,124,1,72,124,0,0,1,0,1,0
48285,126,37,450,1290,2,2,37,126,2,37,126,2,37,126,2,37,126,2,37,126,2,37,126,1,0,1,0,1,0
48314,126,90,450,626,2,2,126,90,2,126,90,2,126,90,2,126,90,2,126,90,2,126,90,0,1,0,0,0,0
48343,18,104,1850,566,2,2,104,18,2,104,18,2,104,18,2,104,18,2,104,18,2,104,18,0,1,0,0,1,1
48372,18,145,1850,404,2,2,145,18,2,145,18,2,145,18,2,145,18,2,145,18,2,145,18,1,0,0,1,1,0
48401,135,18,435,1850,2,2,18,135,2,18,135,2,18,135,2,18,135,2,18,135,2,18,135,1,0,1,0,0,0
48430,68,17,786,1850,2,2,68,17,2,68,17,2,68,17,2,68,17,2,68,17,2,68,17,0,0,1,0,0,1
48459,34,17,1257,1850,2,2,34,17,2,34,17,2,34,17,2,34,17,2,34,17,2,34,17,0,0,1,0,1,0
48488,18,37,1815,1152,2,2,37,18,2,37,18,2,37,18,2,37,18,2,37,18,2,37,18,1,0,0,1,0,0
48517,113,18,498,1815,2,2,18,113,2,18,113,2,18,113,2,18,113,2,18,113,2,18,113,1,0,1,0,0,0
48546,25,20,1595,1815,2,2,25,20,2,25,20,2,25,20,2,25,20,2,25,20,2,25,20,0,1,0,0,0,0
48575,68,19,822,1850,2,2,68,19,2,68,19,2,68,19,2,68,19,2,68,19,2,68,19,0,1,0,0,0,0
48604,81,15,721,2110,3,3,81,15,3,81,15,3,81,15,3,81,15,3,81,15,3,81,15,0,0,0,0,0,0
48633,53,14,962,2110,3,3,53,14,3,53,14,3,53,14,3,53,14,3,53,14,3,53,14,0,1,0,0,0,0
48662,121,68,455,839,3,3,68,121,3,68,121,3,68,121,3,68,121,3,68,121,3,68,121,0,1,0,0,0,0
48691,53,140,973,402,1,1,53,140,1,53,140,1,53,140,1,53,140,1,53,140,1,53,140,1,0,0,1,0,1
